,job_name,company,country,location,min_salary,max_salary,description,posted_date,work_type,tags,score,matched,source
665,Senior Machine Learning / ML Engineer,Xero,Australia,"Sydney, Sydney Region",0.0,0.0,"The role / impact You will lead the design and implementation of AI research and production infrastructure at scale, ensuring our systems remain flexible, cost-effective, and robust. By managing technical debt and directing strategies for distributed systems, your technical decisions will directly influence products that serve millions of daily users. Beyond architecture, your impact lies in lifting the technical capability of the entire AI Products team. You will champion engineering excellenc…",2026-05-21T10:34:53Z,unknown,it-jobs,10,"(('job_title', ('machine learning', 'ml engineer')),)",adzuna
666,AI & Software Engineers – Remote Opportunities,Andrews Recruitment Group,Australia,"Melbourne, Melbourne Region",0.0,0.0,AI & Software Engineers – Remote Opportunities Full-Time & Flexible Contract Options | Remote $60 - $120 per hour We are recruiting for multiple opportunities with a fast-growing AI technology business working on advanced AI systems and software engineering projects. There are currently two routes available: AI/ML Engineer – Full-Time Suitable for candidates with experience in: Python LLMs RAG Prompt engineering LangChain / LangGraph Cloud AI platforms APIs / SDKs Data pipelines / ETL CI/CD AI …,2026-09-05T21:43:05Z,remote,it-jobs,1,"(('description', ('ml engineer',)),)",adzuna
667,"Engineering Manager, AI Production ML Platforms",Apply,Australia,Australia,180.0,240.0,"Xero is seeking an Engineering Manager to lead a high-performing ML and platform engineering team. You will turn research and models into scalable production ML infrastructure, balancing delivery with system health and observability. You will collaborate with senior engineers to shape architecture while focusing on team growth and AI-native workflows across the SDLC. You will join the Data & AI organization within the AI Products division, reporting to the GM of ML Engineering. J-18808-Ljbffr",2026-08-22T18:00:03Z,unknown,it-jobs,1,"(('description', ('ml engineer',)),)",adzuna
668,AI Architect,Tech Aalto,Australia,"Sydney, Sydney Region",0.0,0.0,"About the job - A minimum of 10 years of experience in AI/ML engineering, with a strong emphasis on Generative AI., LLM, RAG and Agentic AI - The ideal candidate will have a proven track record in developing and deploying AI/ML models, with a deep understanding of Gen AI technologies and their applications. - This role requires a strategic thinker who can drive innovation and deliver high-quality solutions in a fast-paced environment. Responsibilities : - Design, develop, and implement AI/ML mo…",2026-07-25T11:24:50Z,unknown,it-jobs,1,"(('description', ('ml engineer',)),)",adzuna
669,"Forward Deployed AI Engineer, Australia (Senior/Principal Level)",Cloudera,Australia,Australia,0.0,0.0,"Business Area: Corp. Strategy Seniority Level: Mid-Senior level Job Description: About Forward Deployed Engineering (FDE) at Cloudera Cloudera’s Forward Deployed Engineering (FDE) function sits within the Applied AI organization, and is a specialized AI/ML engineering team focused on accelerating AI adoption within our most strategic enterprise customers. We embed directly with customers to rapidly pilot AI use cases, solve real-world business challenges, and help operationalize advanced AI cap…",2026-08-06T00:36:41Z,unknown,it-jobs,6,"(('description', ('ml engineer',)), ('job_title', ('ai engineer',)))",adzuna
670,"Forward Deployed AI Engineer, Australia (Senior/Principal Level)",Cloudera,Australia,"Sydney, Sydney Region",0.0,0.0,"Business Area: Corp. Strategy Seniority Level: Mid-Senior level Job Description: About Forward Deployed Engineering (FDE) at Cloudera Cloudera’s Forward Deployed Engineering (FDE) function sits within the Applied AI organization, and is a specialized AI/ML engineering team focused on accelerating AI adoption within our most strategic enterprise customers. We embed directly with customers to rapidly pilot AI use cases, solve real-world business challenges, and help operationalize advanced AI cap…",2026-09-04T15:52:23Z,unknown,it-jobs,6,"(('description', ('ml engineer',)), ('job_title', ('ai engineer',)))",adzuna
671,Machine Learning / Data Engineer,Correlate Resources,Australia,"Sydney, Sydney Region",130000.0,130000.0,"Hybrid Machine Learning / Data Engineer About the Role An opportunity is available for a Hybrid Machine Learning / Data Engineer to join a team developing data-driven and machine learning solutions. Working across both Data Engineering and Machine Learning , you will help take raw data through the complete journey from ingestion and transformation to feature engineering, modelling and production use. This is not a traditional Data Scientist role and is not purely Data Engineering. You should be…",2026-08-21T23:38:43Z,hybrid,it-jobs,13,"(('description', ('data scientist', 'machine learning', 'data engineer')), ('job_title', ('machine learning', 'data engineer')))",adzuna
672,Data Engineer – AI/ML | Google Cloud,4WD SUPACENTRE,Australia,"Sydney Olympic Park, Auburn Area",0.0,0.0,"Description Data Engineer – AI/ML Build the Data. Power the Predictions. Shape the Future of Retail. At 4WD Supacentre, home of Adventure Kings , we’re one of Australia’s fastest-growing adventure and outdoor retailers — and we’re investing in the next generation of our data and AI capability. We’re looking for an experienced Data Engineer – AI/ML to help build the data and machine-learning solutions that will drive smarter decisions across forecasting, inventory, ecommerce, marketing and suppl…",2026-08-23T02:35:27Z,unknown,it-jobs,6,"(('description', ('data engineer',)), ('job_title', ('data engineer',)))",adzuna
673,AI Engineer,The HR Ally,Australia,"Perth, Perth Region",0.0,0.0,"Role: Senior AI Engineer Location: Perth Job type: Permanent Eligibility: Australian PRs & Citizens only Transforming its business through Artificial Intelligence, bringing our unique culture of innovation and leading through doing to transform our asset and employee productivity. The responsibilities of this role is to lead AI solution design, development, and deployment. This role requires a deep understanding of AI/ML algorithms, scalable architectures, and MLOps best practices, with the abi…",2026-08-22T21:19:08Z,unknown,it-jobs,6,"(('description', ('ai engineer',)), ('job_title', ('ai engineer',)))",adzuna
674,AI Engineer (Agentic Systems),Chandler Holdings,Australia,Australia,0.0,0.0,"About the Role We are looking for an AI Engineer to join our core team to accelerate the development of the Governa AI product. This is not a role for someone who simply integrates API endpoints. We are building complex, multi-agent systems that require a deep understanding of state management, concurrency, reliability, and production-grade AI architecture. You will be responsible for architecting agentic workflows, optimising our Retrieval-Augmented Generation (RAG) pipelines, and ensuring tha…",2026-04-09T10:07:55Z,unknown,engineering-jobs,6,"(('description', ('ai engineer',)), ('job_title', ('ai engineer',)))",adzuna
675,Senior Data Engineer - AI/ML DataOps,Sonitec,Australia,"The Rocks, Sydney",0.0,0.0,"About the role The company is seeking a Senior Data Engineer with focus on AI/ML DataOps pipelines to join the Sensor Fusion AI Team in Sydney CBD. Responsibilities, Duties and Expectations Design, develop, maintain and/or refine internal software tools used for processing data, workflow automation, benchmarking and testing the a Sensor AI engine Profile, benchmark and optimise both new and existing performance-critical code focusing on high availability and reliability, low latency, and scalab…",2025-07-31T20:49:31Z,unknown,it-jobs,6,"(('description', ('data engineer',)), ('job_title', ('data engineer',)))",adzuna
676,Applied AI Engineer,OpenAI,Australia,"Sydney, Sydney Region",0.0,0.0,"About the Team OpenAI’s Applied AI Engineering team helps organizations turn frontier AI capabilities into safe, reliable, and high-impact production systems. We work with customer executives, product and engineering teams, security leaders, and transformation teams to identify valuable opportunities, accelerate technical implementation, and scale what works. Enterprise deployments are defined by complexity rather than any one industry: existing architectures, diverse data environments, securit…",2026-06-21T10:50:20Z,unknown,it-jobs,6,"(('description', ('ai engineer',)), ('job_title', ('ai engineer',)))",adzuna
677,Staff Machine Learning Engineer - Visual Suite Platform (AU remote),Canva,Australia,"The Rocks, Sydney",0.0,0.0,"Description About the Group/Team We're the Productivity group within the Design Experience supergroup. We build the surfaces people use to organise and act on information in Canva: Sheets, Tables, Docs, Whiteboards, Presentations, Websites, and Email. Right now, we're focused on using AI to automate whole user flows, not just bolt on smart features. We want to invent what productivity looks like next, and rethink how the work actually gets done. We move fast and ship often, and we care about th…",2026-08-10T18:19:57Z,remote,it-jobs,5,"(('job_title', ('machine learning',)),)",adzuna
678,"AI Engineer - South Bank, QLD",Flight Centre,Australia,"Queensland, Australia",0.0,0.0,"At Flight Centre Travel Group (FCTG) our purpose is to 'open up the world for those who want to see'. Every day, we give people all around the world the opportunity to experience something really amazing – travel! Join our Data Science & AI team and help shape the future of AI solutions across Flight Centre Travel Group's Supply business. As the AI Engineer, you will design, build and deploy production-grade AI systems, working across both classical machine learning and modern agentic AI workfl…",2026-08-21T09:22:46Z,unknown,it-jobs,7,"(('description', ('machine learning', 'ai engineer')), ('job_title', ('ai engineer',)))",adzuna
679,Staff AI & Data Engineer,AirTrunk,Australia,Australia,0.0,0.0,"Want to be a part of Asia Pacific & Middle East's (APME) largest, most innovative, and rapidly growing data centre company? AirTrunk is a technology company with a powerful purpose - to scale and sustain the relentless growth of the region’s digital future. We do this by continuously redefining and delivering hyperscale data centres that meet the needs of our customers - the world’s most transformational companies. And we’re doing so sustainably, for today and tomorrow. Having opened Australia’…",2026-06-19T10:50:43Z,unknown,it-jobs,5,"(('job_title', ('data engineer',)),)",adzuna
680,Staff AI & Data Engineer,AirTrunk,Australia,"Melbourne, Melbourne Region",0.0,0.0,"Want to be a part of Asia Pacific & Middle East's (APME) largest, most innovative, and rapidly growing data centre company? AirTrunk is a technology company with a powerful purpose - to scale and sustain the relentless growth of the region’s digital future. We do this by continuously redefining and delivering hyperscale data centres that meet the needs of our customers - the world’s most transformational companies. And we’re doing so sustainably, for today and tomorrow. Having opened Australia’…",2026-09-04T15:52:11Z,unknown,it-jobs,5,"(('job_title', ('data engineer',)),)",adzuna
681,Postdoctoral Research Associate - Computational RNA Design,The University of Western Australia,Australia,"Nedlands, Nedlands Area",0.0,0.0,"Lead developer for the platform, driving sequence design, RNA folding and RNA stability, with access to proprietary data and a closed loop where designs are synthesised, tested and returned as training data. Interdisciplinary team at the interface of machine learning, RNA biology and cancer therapeutics, and direct engagement with world leaders and industry partners. Full-time appointment on a fixed term basis for 24 months, with the possibility of extension. Base salary: Level A, $116,866 p.a.…",2026-08-14T15:38:32Z,unknown,scientific-qa-jobs,1,"(('description', ('machine learning',)),)",adzuna
